station_id,station_name,normalized_station_name,line,latitude,longitude,source
424,명동,명동,4,37.561055,126.988271,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
425,회현,회현,4,37.559698,126.979565,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
426,서울,서울,4,37.553172,126.972836,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
427,숙대입구,숙대입구,4,37.545124,126.971952,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
428,삼각지,삼각지,4,37.535057,126.973354,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
429,신용산,신용산,4,37.52919,126.96858,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
430,이촌,이촌,4,37.522525,126.97335,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
431,동작,동작,4,37.503567,126.980171,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
432,총신대입구,총신대입구,4,37.487521,126.982309,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
433,사당,사당,4,37.476563,126.981746,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
434,남태령,남태령,4,37.464339,126.989081,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2511,방화,방화,5,37.577669,126.812822,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2512,개화산,개화산,5,37.572458,126.806838,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2513,김포공항,김포공항,5,37.56217,126.801273,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2514,송정,송정,5,37.561411,126.812052,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2515,마곡,마곡,5,37.562182,126.82693,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2516,발산,발산,5,37.562182,126.82693,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2517,우장산,우장산,5,37.548864,126.83633,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2518,화곡,화곡,5,37.541585,126.840436,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2519,까치산,까치산,5,37.53181,126.846706,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2520,신정,신정,5,37.525001,126.856176,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2521,목동,목동,5,37.526088,126.864296,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2522,오목교,오목교,5,37.524557,126.875049,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2523,양평,양평,5,37.525614,126.886177,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2524,영등포구청,영등포구청,5,37.524209,126.895022,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2525,영등포시장,영등포시장,5,37.52276,126.905143,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2526,신길,신길,5,37.51763,126.914886,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2527,여의도,여의도,5,37.521578,126.924318,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2528,여의나루,여의나루,5,37.527145,126.932807,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2529,마포,마포,5,37.539718,126.946043,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2530,공덕,공덕,5,37.544005,126.951058,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2531,애오개,애오개,5,37.553592,126.956733,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2532,충정로,충정로,5,37.560061,126.962783,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2533,서대문,서대문,5,37.565812,126.966639,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2534,광화문,광화문,5,37.570545,126.976568,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2535,종로3가,종로3가,5,37.572546,126.990447,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2536,을지로4가,을지로4가,5,37.56658,126.998127,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2537,동대문역사문화공원,동대문역사문화공원,5,37.564682,127.00533,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2538,청구,청구,5,37.560237,127.01379,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2539,신금호,신금호,5,37.554504,127.020403,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2540,행당,행당,5,37.557297,127.029482,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2541,왕십리,왕십리,5,37.56197,127.037264,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2542,마장,마장,5,37.566066,127.042921,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2543,답십리,답십리,5,37.566833,127.05266,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2544,장한평,장한평,5,37.561438,127.064601,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2545,군자,군자,5,37.557102,127.079559,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2546,아차산,아차산,5,37.552005,127.089609,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2547,광나루,광나루,5,37.545301,127.103478,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2548,천호,천호,5,37.538566,127.123539,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2549,강동,강동,5,37.53581,127.13249,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2550,길동,길동,5,37.538022,127.140085,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2551,굽은다리,굽은다리,5,37.545442,127.142844,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2552,명일,명일,5,37.551317,127.144002,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2553,고덕,고덕,5,37.555002,127.154214,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2554,상일동,상일동,5,37.556714,127.166381,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2555,둔촌동,둔촌동,5,37.527787,127.136219,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2556,올림픽공원,올림픽공원,5,37.516217,127.130957,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2557,방이,방이,5,37.508752,127.126054,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2558,오금,오금,5,37.502228,127.127701,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2559,개롱,개롱,5,37.498097,127.134817,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2560,거여,거여,5,37.493208,127.143983,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2561,마천,마천,5,37.494972,127.152784,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2562,강일,강일,5,37.557521,127.176018,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2563,미사,미사,5,37.56329,127.192954,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2564,하남풍산,하남풍산,5,37.552201,127.203897,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2565,하남시청,하남시청,5,37.541723,127.206901,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
2566,하남검단산,하남검단산,5,37.539729,127.223427,서울교통공사_1_8호선 역사 좌표(위경도) 정보_20250814.csv
