adm_cd,adm_nm,x,y,source_crs,reference_year
1115051,서울특별시 양천구 목1동,944706.0,1947765.0,EPSG:5179,2021
1115052,서울특별시 양천구 목2동,944712.0,1949547.0,EPSG:5179,2021
1115053,서울특별시 양천구 목3동,943953.0,1949733.0,EPSG:5179,2021
1115054,서울특별시 양천구 목4동,944066.0,1948645.0,EPSG:5179,2021
1115057,서울특별시 양천구 신월1동,941199.0,1948205.0,EPSG:5179,2021
1115058,서울특별시 양천구 신월2동,942241.0,1947521.0,EPSG:5179,2021
1115059,서울특별시 양천구 신월3동,940481.0,1948633.0,EPSG:5179,2021
1115060,서울특별시 양천구 신월4동,941662.0,1947202.0,EPSG:5179,2021
1115061,서울특별시 양천구 신월5동,940756.0,1949270.0,EPSG:5179,2021
1115062,서울특별시 양천구 신월6동,941868.0,1946598.0,EPSG:5179,2021
1115063,서울특별시 양천구 신월7동,940894.0,1947009.0,EPSG:5179,2021
1115064,서울특별시 양천구 신정1동,943414.0,1946918.0,EPSG:5179,2021
1115065,서울특별시 양천구 신정2동,944748.0,1946823.0,EPSG:5179,2021
1115066,서울특별시 양천구 신정3동,941747.0,1946039.0,EPSG:5179,2021
1115069,서울특별시 양천구 신정6동,944510.0,1946404.0,EPSG:5179,2021
1115070,서울특별시 양천구 신정7동,943911.0,1945791.0,EPSG:5179,2021
1115071,서울특별시 양천구 목5동,945218.0,1948698.0,EPSG:5179,2021
1115072,서울특별시 양천구 신정4동,943245.0,1947540.0,EPSG:5179,2021
1116051,서울특별시 강서구 염창동,944511.0,1950762.0,EPSG:5179,2021
1116052,서울특별시 강서구 등촌1동,943440.0,1951014.0,EPSG:5179,2021
1116053,서울특별시 강서구 등촌2동,943375.0,1949803.0,EPSG:5179,2021
1116054,서울특별시 강서구 등촌3동,942260.0,1951508.0,EPSG:5179,2021
1116055,서울특별시 강서구 화곡본동,942412.0,1949460.0,EPSG:5179,2021
1116057,서울특별시 강서구 화곡2동,942956.0,1948302.0,EPSG:5179,2021
1116058,서울특별시 강서구 화곡3동,941192.0,1949664.0,EPSG:5179,2021
1116059,서울특별시 강서구 화곡4동,943425.0,1948733.0,EPSG:5179,2021
1116061,서울특별시 강서구 화곡6동,942695.0,1950447.0,EPSG:5179,2021
1116063,서울특별시 강서구 화곡8동,942407.0,1948732.0,EPSG:5179,2021
1116064,서울특별시 강서구 가양1동,941247.0,1952683.0,EPSG:5179,2021
1116065,서울특별시 강서구 가양2동,942982.0,1952134.0,EPSG:5179,2021
1116066,서울특별시 강서구 가양3동,943573.0,1951565.0,EPSG:5179,2021
1116067,서울특별시 강서구 발산1동,940411.0,1950343.0,EPSG:5179,2021
1116069,서울특별시 강서구 공항동,937696.0,1950939.0,EPSG:5179,2021
1116070,서울특별시 강서구 방화1동,939733.0,1952357.0,EPSG:5179,2021
1116071,서울특별시 강서구 방화2동,938237.0,1953923.0,EPSG:5179,2021
1116072,서울특별시 강서구 방화3동,939746.0,1953859.0,EPSG:5179,2021
1116073,서울특별시 강서구 화곡1동,941767.0,1948478.0,EPSG:5179,2021
1116074,서울특별시 강서구 우장산동,941803.0,1950345.0,EPSG:5179,2021
1117051,서울특별시 구로구 신도림동,945389.0,1945813.0,EPSG:5179,2021
1117052,서울특별시 구로구 구로1동,944780.0,1943950.0,EPSG:5179,2021
1117054,서울특별시 구로구 구로3동,946603.0,1943020.0,EPSG:5179,2021
1117055,서울특별시 구로구 구로4동,946089.0,1943754.0,EPSG:5179,2021
1117056,서울특별시 구로구 구로5동,945960.0,1944911.0,EPSG:5179,2021
1117061,서울특별시 구로구 고척1동,943764.0,1944781.0,EPSG:5179,2021
1117062,서울특별시 구로구 고척2동,942859.0,1945382.0,EPSG:5179,2021
1117064,서울특별시 구로구 개봉2동,943096.0,1944006.0,EPSG:5179,2021
1117065,서울특별시 구로구 개봉3동,942670.0,1943231.0,EPSG:5179,2021
1117067,서울특별시 구로구 오류1동,941810.0,1944381.0,EPSG:5179,2021
1117069,서울특별시 구로구 수궁동,940421.0,1944554.0,EPSG:5179,2021
1117070,서울특별시 구로구 가리봉동,945911.0,1942867.0,EPSG:5179,2021
1117071,서울특별시 구로구 구로2동,945529.0,1944352.0,EPSG:5179,2021
1117072,서울특별시 구로구 개봉1동,942672.0,1944725.0,EPSG:5179,2021
1117073,서울특별시 구로구 오류2동,941495.0,1943106.0,EPSG:5179,2021
1117074,서울특별시 구로구 항동,940306.0,1942623.0,EPSG:5179,2021
1118051,서울특별시 금천구 가산동,945525.0,1942115.0,EPSG:5179,2021
1118052,서울특별시 금천구 독산1동,946271.0,1940723.0,EPSG:5179,2021
1118053,서울특별시 금천구 독산2동,946983.0,1940696.0,EPSG:5179,2021
1118054,서울특별시 금천구 독산3동,947364.0,1942015.0,EPSG:5179,2021
1118055,서울특별시 금천구 독산4동,947295.0,1941382.0,EPSG:5179,2021
1118057,서울특별시 금천구 시흥1동,946946.0,1939404.0,EPSG:5179,2021
1118058,서울특별시 금천구 시흥2동,948671.0,1939247.0,EPSG:5179,2021
1118059,서울특별시 금천구 시흥3동,947458.0,1938041.0,EPSG:5179,2021
1118060,서울특별시 금천구 시흥4동,947758.0,1940257.0,EPSG:5179,2021
1118061,서울특별시 금천구 시흥5동,947930.0,1938843.0,EPSG:5179,2021
1119054,서울특별시 영등포구 여의동,949502.0,1947840.0,EPSG:5179,2021
1119055,서울특별시 영등포구 당산1동,946697.0,1947349.0,EPSG:5179,2021
1119056,서울특별시 영등포구 당산2동,947198.0,1948491.0,EPSG:5179,2021
1119061,서울특별시 영등포구 양평1동,945790.0,1947539.0,EPSG:5179,2021
